Video Title,Like Count,View Count,Comment Count,Commenter Name,Comment,Comment Like Count,YouTube Channel
Double winner - Episode 4 | More than 90 minutes presented by Allianz (Season 2),164,2932,1,@ric007perfekt4,Sooo geil❤❤❤❤,1,FC Bayern Frauen
"Servus, José! | Der neue Cheftrainer José Barcala",276,4396,12,@FCBVIKING1996,Hoffen wir Mal das er hier gut zurecht kommt,0,FC Bayern Frauen
"Servus, José! | Der neue Cheftrainer José Barcala",276,4396,12,@wathor,"naja gegen das geld was barca/OL/chelsea zur verfg haben wird das nie was werden mit CL, außer die FCB Herren geben mal bissl mehr geld ab.",0,FC Bayern Frauen
"Servus, José! | Der neue Cheftrainer José Barcala",276,4396,12,@denizleventyuruyen4774,Servus Josè viel Spaß und  Erfolg  bei der neuen Challange.  78P in der Liga und dad erste Triple der Vereinsgrschichte zu holen im Frauenveteixh!,2,FC Bayern Frauen
"Servus, José! | Der neue Cheftrainer José Barcala",276,4396,12,@hajoos.8360,"Die Bayern werden sich ja irgendwas dabei gedacht haben. Der Trainer hat den wichtigsten Job im Team. Ich hätte wohl eher Friedhelm Funkel gefragt, auch wenn der teurer ist.",0,FC Bayern Frauen
"Servus, José! | Der neue Cheftrainer José Barcala",276,4396,12,@stevenf7161,Herzlich willkommen in der FCB Familie Jose B ❤viel Glück und Erfolg mit den FCB Mädels ❤,3,FC Bayern Frauen
"Servus, José! | Der neue Cheftrainer José Barcala",276,4396,12,@HHH-vi1wn,Bienvenido 🇩🇪🇪🇦🇩🇪 Hay que estudiar aleman....... suerte!!!,3,FC Bayern Frauen
"Servus, José! | Der neue Cheftrainer José Barcala",276,4396,12,@dryhit7087,Hau rein und führe den Club zum Gewinn der CL 👍,4,FC Bayern Frauen
"Servus, José! | Der neue Cheftrainer José Barcala",276,4396,12,@JOY_0803,Herzlich Willkommen! :),2,FC Bayern Frauen
"Servus, José! | Der neue Cheftrainer José Barcala",276,4396,12,@martink.1471,Herzlichen willkommen beim FC Bayern❤️🤍,5,FC Bayern Frauen
"Servus, José! | Der neue Cheftrainer José Barcala",276,4396,12,@tsavonglah08,¡Buena suerte!,9,FC Bayern Frauen
"Servus, José! | Der neue Cheftrainer José Barcala",276,4396,12,@pj5876,Er klingt sehr sympathisch😄,14,FC Bayern Frauen
"Servus, José! | Der neue Cheftrainer José Barcala",276,4396,12,@hustle9955,Herzlich willkommen 🙏🏻,13,FC Bayern Frauen
Wo feierst du den Kick-Off? Mit Pia Riegel auf einer Mission in München 👀,98,1983,5,@pzycho3112,Macht die Hütte voll! 🎉,0,FC Bayern Frauen
Wo feierst du den Kick-Off? Mit Pia Riegel auf einer Mission in München 👀,98,1983,5,@valdanohutapea,Stream it 😅,0,FC Bayern Frauen
Wo feierst du den Kick-Off? Mit Pia Riegel auf einer Mission in München 👀,98,1983,5,@denizleventyuruyen4774,In der Allianz Arena  so wie sich das gehört!  #ImmervorwärtsFCB #Homevictory #Mission1stTriple #Missioin4thinaROW #Mission78Points,1,FC Bayern Frauen
Wo feierst du den Kick-Off? Mit Pia Riegel auf einer Mission in München 👀,98,1983,5,@Outdoor-Grandpa,Natürlich in der Allianz Arena ❤,1,FC Bayern Frauen
Wo feierst du den Kick-Off? Mit Pia Riegel auf einer Mission in München 👀,98,1983,5,@TobiaaDitze-dz2lu,Ja,2,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@riku611ify,Let's go BAYERN！👍🇯🇵,0,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@stevenherkert2421,Diese Mannschaft hatte von Anfang an nur ein Ziel... dieses Turnier zu gewinnen,0,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@Komainu1109,バイエルン様に お願いが有ります。モモコにBEERを与えないで😅。せめてグラス1杯までと叱って下さい。😆,1,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@jasons8458,"I'm a big fan of Momoko. She may not speak German but when on the pitch, she can fully express herself in the universal language called ""Football"".
Congratulations, Momoko!!!",11,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@minoru1-p4l,良い意味でのサッカーバカ,1,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@ec-driver,Warum spielte Glodis Viggosdottir mit der Nr. 15 ohne Name auf dem Trikot? Wurde das Trikot mit der  Nr. 4 vergessen?,0,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@kellyt0216,"バイエルンは終始楽しそうにPlayしてた。
こんな明るいチームだとは思わなかった。
みんなの明るさに勝利の女神も微笑んだ。
おめでとうございます。",21,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@bushchat28d,How can it be 'world' sevens when the only teams competing were European?,3,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@冷奴25,陽キャ集団w,3,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@peaceman_japan,"Bayern's happy friends are the best. It was a fun three days. Ena, Momoko, it's too amazing.",14,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@m2g423,"18:07🎉
19:02😂
8:57😮",6,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@tunblablo349,"Danke fürs Reinstellen des BTS. Ich habe grosse Teile angesehen, natürlich alle Bayern - Spiele. Das Format ist, gelinde gesagt, nicht mein Fall. Und man muss ehrlich sein: Ohne das sehr hohe Preisgeld hätte da kein Verein mitgemacht. Es hat seinen Grund, warum der FCB seinen Spielerinnen die Teilnahme freigestellt hat, was ich den Verantwortlichen hoch anrechne. Der wesentliche Punkt ist das, was das Team daraus gemacht hat: Eine Riesengaudi! Das war im Grunde Urlaub mit Tanzen und Feiern mit konzentriertem Kicken zwischendurch. Die Bayern haben damit Werbung gemacht für sich selbst - ja, auch die Marke - und für den Fussball allgemein, egal in welchem Format. Macht weiter so!",4,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@mc67tama,Momoko Tanikawa is real striker,20,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@mrgattacanejo,"Momoko Tanikawa is a Japanese treasure.
To all the people of Germany, please continue to watch over her warmly.🎌",26,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@For_Cruyff_Sake,This is what it would look like if Oktoberfest held a football tournament during Oktoberfest Week 😂,4,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@traderjays7632,0:08  Momoko scores with a smile in her face ❤,34,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@kyupsakhoe367,Tanikawa 18:21 on firee,27,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@traderjays7632,0:08 笑顔でシュートを決めるタニカワ。,16,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@davewright8206,what are we gonna do without alex 🥲,1,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@rumpel8037,"Ich bin seit Jahrzehnten bei den Männern immer gegen diesen Hoeneß CSU Club. ABER, diesen Mädels wünsche ich immer nur das Beste und werde durch sie fast noch zum Bayern Fan. Super sympathische Truppe voller angenehmer Persönlichkeiten.",17,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@blacknudl3025,"Es hat einfach sehr, sehr viel Spaß gemacht den Mädels zu zuschauen. Insbesondere den Spaß und die Freude die sie dabei hatten miterleben zu dürfen. Und trotzdem klasse Fußball abgeliefert. ❤🎉🎉🎉",2,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@inotoni6148,Ich hoffe Bayern lässt endlich Tanikawa ab jetzt öfters spielen. Sie ist schließlich einer der besten Spielerinnen der Welt!,34,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@TheMaxpit,"Glückwunsch zum verdienten Turniergewinn!  Hat echt Laune gemacht, die Spiele mit anzuschauen und live mit zu verfolgen.",6,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@josefvonbrunn6607,"Bin seit über 60 Jahren Bayernfan. Habe alle Spiele gesehen seit es möglich war. Bin Mitglied und inzwischen weis ich nicht für wen ich mehr fiebere - ach einfach für beide (Männer + Frauen) - aber das Turnier hat schon verdammt viel Spaß gemacht....  Ohne zweifelhafte und unpassende Abseitsentscheidungen, wo sich nur Schiries und der Keller profilieren wollen. Hatte noch nie soviel Spaß und Freude beim zuschauen. Man konnte jubeln ohne das der VAR sagt das war 2 mm abseits ....",24,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@mawesmo,"From the intro presentation, Bayern heard one thing only, ""Lots of fun/kids"" 😂",9,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@jonpetter8921,"Bayern was definitely the funniest team, or the only team that seems to have fun so they deserve the title 🎉🎉",26,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@chiassonlaurianne4764,My DREAMMM,4,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@WayneJucktsTwitch,Sehr cool!! Die Mädels haben Spaß!!! Da sollte sich so mancher ein Beispiel dran nehmen,8,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@HiViByRegina111,"Dank für ein weiteres unfassbar schönes und emotionales Video. Das Turnier World Sevens Football hat mir einen Riesenspaß gemacht und ich freue mich schon auf das nächste. Als Spielerin beim FC Bayern München zu sein ist die reinste Freude, der Teamgeist dort sucht wohl seinesgleichen. Lieben Gruß und Glück🍀Auf aus Dortmund",16,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@piresgilvander5303,Lets go bayer ❤🤍,3,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@gizblo,Eine herrlich verrückte und sympathische Mannschaft.,9,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@johnnytrucker69,"Damnjanović immer 100% Einsatz, Ehrgeiz, Power, Vollgas 🎉 JOVANA GOAT 💪",13,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@UltraHD.7,"Es war einfach eine Freude euch zuzuschauen und Ihr ward und seid wirklich die besten Aushängeschilder des Vereins. 
Und ach ja, Momo Superstar! 😊",24,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@MCallsen,Das Ballgefühl von Momoko kann man nicht kopieren :D Echt außerirdisch ♥,34,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@Ingo86,"Ich glaube die hatten Spaß. Eine tolle Truppe, den schönsten Torjubel hat Tuva gezeigt.",13,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@Yeoman4u,"Das ist die Kirsche auf der Torte auf der Trophäen-Schale! 
Danke an das Media-Team der FC Bayern Frauen, ihr könnt solche Zusammenfassungen sehr viel besser als gewisse andere Media-Beauftragte, deren lieblose Zusammenfassungen diesem großartigen Event nicht annähernd gerecht werden. 

Ein interessantes neues Format, ein ganzes Turnier in 3 Tagen für Binge-Watcher. Ob und wie sich das für Leute vermitteln und aufbereiten lässt, die nicht soviel Zeit haben, sehe ich noch als offene Frage.",2,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@hajoos.8360,"Schöne Bilder. Das Kleinfeld-Format hatte mir jetzt nicht so gut gefallen, aber es brachte das Tiki-Taka-Konzept von Straus bestens zu Geltung. Das (Kurz-) Paßspiel der Bayern-Grazien war allen anderen Mannschaften überlegen. Am schlechtesten kam offensichtlich PSG damit klar. Desweiteren ist es ein Equalizer, individuelle Schnelligkeit kommt hier nicht zur Geltung, nur schneller Antritt, besonders gut bei Sarah Zadrazil & Caro Simon zu sehen, die beide keine 100-Meter-Sprints gewinnen. Das finale Siegtor von Zadrazil war ein echtes Gerd-Müller-Tor, grandios, der Bomber hätte es nicht besser machen können. Die offensiven Fähigkeiten von Abwehrspielern bewundern zu können, hatte mir bei diesem Turnier am meisten Spaß gemacht. In der Regel kommen auf einem richtigen Platz die Abwehrspieler nur bei Ecken & Standards vors gegnerische Tor. Die Frage, die sich mir abschließend stellt, ist die nach Michelle Ulbrich. Sie hatte Sich gegen Jena bewährt & in Portugal sich wunderbar ins Team eingefügt. Warum lassen die Bayern Sie gehen? Da die IV-Position im Grunde die Achillesverse des Deutschen Frauenfußball ist, kann ich mir nicht vorstellen, daß Bremen Sie zurückbekommt. Da werden höher Karätige zuschlagen.",9,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@布施俊徳丸,"来期のCLがすごい楽しみ。
センセーショナルな結果を生み出しそう。",17,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@ralflottkus7204,Das Turnier hat so viel Spaß gemacht zum zusehen.,16,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@dai-nj2mm,18:08 super trick,50,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@caveatlector1591,the most unserious team the whole tournament but also the 1st champions lol. Congrats Bayern!,8,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@charlotted9250,"Es macht so Spaß den Mädels zuzuschauen, man spürt richtig diese Freude und den Zusammenhalt von denen😍 They won with the power of friendship. Einfach nur Liebe für diese Mannschaft ❤",20,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@Frauenfußball_support,🥹❤️🤍,7,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@dietmarraffke7326,Ihr habt es euch verdient.  Danke auch an den Trainer. Nächste Saison seid ihr noch stärker.  Ihr habt mir ein tolles Geburtstagsgeschenk mit euerem Sieg gemacht. ❤❤❤❤,14,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@finnoleperlick3813,"Einfach eine tolle Mannschaft! Macht Spaß zuzugucken, weil man wirklich merkt, dass es eine richtige Mannschaft ist. Top!
Übrigens auch ein wirklich cooles neues Format, gerne wieder!",21,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@TemitopeMatthew-fd3gl,👏👏👏,8,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@mathiasp2694,Super Team🎉,18,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@Dragodina,"18:38 Dieser Moment, in dem Linda einfach noch nen Flick- Flack durchs Bild macht 😂",13,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@ヒロ兄ヒロにぃ,"Bayern☆Bayern☆Bayern☆
ヽ(=´▽`=)ﾉ
Tanikawa〜おめでとう！",31,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@Gemischtes-Hack,Gutes Video,13,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@hannahwohlfarth5424,Das Turnier hat soviel Spaß gemacht anzusehen ❤🤍,41,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@chrisforever1255,"Das war so cool, Mädels!
Hat super Spass gemacht Euch zuzuschauen!
Behaltet diesen Teamspirit unbedingt bei - das unterscheidet Euch von den allermeisten anderen Topteams!
Weiter so!
Grüße aus NRW!
👋😎🎸",24,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@RaptorR0ger,das ist keine normale Fußballmannschaft! Das ist eine große Gruppe von Freunden die zusammen richtig richtig gut Fußballspielen können!,77,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@martink.1471,Richtig geile Kickerinnen mit Ena Mahmutovic Momoko Tanikawa und alle anderen der Hacken Trick von Momoko Tanikawa war der Hammer die dürft ihr nie mehr hergeben ♥️🤍Mia San Mia euer zusammen halt ist einmalig gibt es nirgendwo anders im Frauenfussball 😘🥰😍,70,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@MichaS3001,"Was für tolle Mädels, und dieser einzigartiger Zusammenhalt, es ist unmöglich, sie nicht zu lieben...🥰😘😍",67,FC Bayern Frauen
World Sevens Football in Portugal: Behind the Scenes,1577,65657,68,@valdanohutapea,Ya hallo 😂,3,FC Bayern Frauen
2️⃣0️⃣2️⃣8️⃣: FC Bayern Frauen verpflichten Vanessa Gilles ✍️,461,8982,34,@FL8610,Vorbild für FCB Frauen Barca und Lyon,0,FC Bayern Frauen
2️⃣0️⃣2️⃣8️⃣: FC Bayern Frauen verpflichten Vanessa Gilles ✍️,461,8982,34,@bernd3781,WARM WELCOME at FC Bayern!! Having the courage to dream is having the power to fight!🫶,0,FC Bayern Frauen
2️⃣0️⃣2️⃣8️⃣: FC Bayern Frauen verpflichten Vanessa Gilles ✍️,461,8982,34,@denizleventyuruyen4774,Enjoy your time and have fun by your nee challange  in the next viel years,0,FC Bayern Frauen
2️⃣0️⃣2️⃣8️⃣: FC Bayern Frauen verpflichten Vanessa Gilles ✍️,461,8982,34,@43daddycool,Bonne chance pour ton nouveau projet Vanessa.Je te souhaite le meilleur .Le Bayern est un club une nouvelle famille pour toi.🤩,0,FC Bayern Frauen
2️⃣0️⃣2️⃣8️⃣: FC Bayern Frauen verpflichten Vanessa Gilles ✍️,461,8982,34,@wathor,wenn man nicht mehr gut genug für lyon ist und eher in die 2te reihe abtritt ist es sicher ok in der dt. liga zu spielen und noch etwas für die rente zu sparen.,0,FC Bayern Frauen
2️⃣0️⃣2️⃣8️⃣: FC Bayern Frauen verpflichten Vanessa Gilles ✍️,461,8982,34,@ecke-eckessi,Leute! Wie wollen die Gegner denn noch Tore schiessen 😉,1,FC Bayern Frauen
2️⃣0️⃣2️⃣8️⃣: FC Bayern Frauen verpflichten Vanessa Gilles ✍️,461,8982,34,@Musikmanni1,Daumen leider nach unten aber nicht wegen der Spielerin sondern weil nur auf Englisch was soll das 😮,1,FC Bayern Frauen
2️⃣0️⃣2️⃣8️⃣: FC Bayern Frauen verpflichten Vanessa Gilles ✍️,461,8982,34,@EMPEREUR-ARAKIS-1ER,Bienvenue ❤❤,0,FC Bayern Frauen
2️⃣0️⃣2️⃣8️⃣: FC Bayern Frauen verpflichten Vanessa Gilles ✍️,461,8982,34,@forsik3r648,"Gute Verpflichtung. Also mit ihr und den Verletzten Spielerinnen die zurück kommne, ist das schon ein sau straker KAder. Obi, KAthi und STanway werden das Team auch nochmal auf ein neues Level heben",2,FC Bayern Frauen
2️⃣0️⃣2️⃣8️⃣: FC Bayern Frauen verpflichten Vanessa Gilles ✍️,461,8982,34,@cvandletter9330,"Oh no, Notre Gillous.... Pourquoi OL Lyonnes?",0,FC Bayern Frauen
2️⃣0️⃣2️⃣8️⃣: FC Bayern Frauen verpflichten Vanessa Gilles ✍️,461,8982,34,@TobiaaDitze-dz2lu,Ja❤❤❤❤,2,FC Bayern Frauen
2️⃣0️⃣2️⃣8️⃣: FC Bayern Frauen verpflichten Vanessa Gilles ✍️,461,8982,34,@TheWeepingPen,great signing,2,FC Bayern Frauen
2️⃣0️⃣2️⃣8️⃣: FC Bayern Frauen verpflichten Vanessa Gilles ✍️,461,8982,34,@brokencardealer1,"All the best, Vanessa. Great to have you!",3,FC Bayern Frauen
2️⃣0️⃣2️⃣8️⃣: FC Bayern Frauen verpflichten Vanessa Gilles ✍️,461,8982,34,@sandrapatriciaoriguarios4589,Wilkommen!,3,FC Bayern Frauen
2️⃣0️⃣2️⃣8️⃣: FC Bayern Frauen verpflichten Vanessa Gilles ✍️,461,8982,34,@arejdaldriss598,👌👌👌,0,FC Bayern Frauen
2️⃣0️⃣2️⃣8️⃣: FC Bayern Frauen verpflichten Vanessa Gilles ✍️,461,8982,34,@Frauenfußball_support,Welcome ❤️🤍😍Vanessa!,3,FC Bayern Frauen
2️⃣0️⃣2️⃣8️⃣: FC Bayern Frauen verpflichten Vanessa Gilles ✍️,461,8982,34,@oldschoolboy09,"Yes, yes. She comes from Lyon but first she played for Angel FC on loan and now she comes from Lyon. Why don't they want her there if she's so good? I'm not convinced yet.",2,FC Bayern Frauen
2️⃣0️⃣2️⃣8️⃣: FC Bayern Frauen verpflichten Vanessa Gilles ✍️,461,8982,34,@SchmidtOnline,GO Girl !!!!,1,FC Bayern Frauen
2️⃣0️⃣2️⃣8️⃣: FC Bayern Frauen verpflichten Vanessa Gilles ✍️,461,8982,34,@sonnya.,Glückwunsch zu den beiden Topverpflichtungen von gestern und heute.,8,FC Bayern Frauen
2️⃣0️⃣2️⃣8️⃣: FC Bayern Frauen verpflichten Vanessa Gilles ✍️,461,8982,34,@FrogwomanOrgReloaded,"Tja, wie ich gestern schon bei der Verpflichtung von Stine geschrieben habe... das wird nen Hammer Konkurrenzkampf in der IV... jetzt erst recht.
Klar wird auch rotiert werden, aber manche werde halt deutlich weniger spielen als andere... mal gucken wer dann zufrieden ist. Bin gespannt!
Auf jeden Fall sind wir jetzt gut aufgestellt da hinten. :-)",5,FC Bayern Frauen
2️⃣0️⃣2️⃣8️⃣: FC Bayern Frauen verpflichten Vanessa Gilles ✍️,461,8982,34,@valdanohutapea,So many made in USA 😅,0,FC Bayern Frauen
2️⃣0️⃣2️⃣8️⃣: FC Bayern Frauen verpflichten Vanessa Gilles ✍️,461,8982,34,@mblack8692,Herzlichen willkommen bei uns in der FC Bayern Familie 🎉,7,FC Bayern Frauen
2️⃣0️⃣2️⃣8️⃣: FC Bayern Frauen verpflichten Vanessa Gilles ✍️,461,8982,34,@valdanohutapea,Servus Vanessa 😁,2,FC Bayern Frauen
2️⃣0️⃣2️⃣8️⃣: FC Bayern Frauen verpflichten Vanessa Gilles ✍️,461,8982,34,@MrPackoTV,Sehr gut !!! Jetzt kommt mit Vanessa nach Stine endlich das nächste starke Abwehrmonster zu Bayern Frauen. Glückwunsch. Die gegnerischen Stürmerinnen werden verzweifeln an Vanessa und können sich schon mal sehr warm anziehen. Perfekter Transfer.,13,FC Bayern Frauen
2️⃣0️⃣2️⃣8️⃣: FC Bayern Frauen verpflichten Vanessa Gilles ✍️,461,8982,34,@AlexanderRiedel-io8tu,Herzlich willkommen bei Bayern,7,FC Bayern Frauen
2️⃣0️⃣2️⃣8️⃣: FC Bayern Frauen verpflichten Vanessa Gilles ✍️,461,8982,34,@martink.1471,Welcome by FC Bayern Mia San Mia ♥️🤍,5,FC Bayern Frauen
2️⃣0️⃣2️⃣8️⃣: FC Bayern Frauen verpflichten Vanessa Gilles ✍️,461,8982,34,@RaptorR0ger,Welcome. together with Glodis and Magda... 💪,1,FC Bayern Frauen
FC Bayern Frauen verpflichten Stine Ballisager ✍️,327,9028,31,@EMPEREUR-ARAKIS-1ER,Bienvenue ❤❤,0,FC Bayern Frauen
FC Bayern Frauen verpflichten Stine Ballisager ✍️,327,9028,31,@hotstepper9734,"Wahnsinn die wollens wissen !! Herzlich willkommen in München, viel Erfolg",0,FC Bayern Frauen
FC Bayern Frauen verpflichten Stine Ballisager ✍️,327,9028,31,@christianhoeg5356,"Sådan👏👏👏💪💪Tillykke  og velkommen til FC Bayern familien,  Stine😁Fedt at du bliver en del af holdet.Mia san mia. Forever number One😉❤🤍",0,FC Bayern Frauen
FC Bayern Frauen verpflichten Stine Ballisager ✍️,327,9028,31,@angelikabergmann5297,Välkommen,0,FC Bayern Frauen
FC Bayern Frauen verpflichten Stine Ballisager ✍️,327,9028,31,@ecke-eckessi,"Perfekt,noch weniger Gegentore.",0,FC Bayern Frauen
FC Bayern Frauen verpflichten Stine Ballisager ✍️,327,9028,31,@TobiaaDitze-dz2lu,Ja,1,FC Bayern Frauen
FC Bayern Frauen verpflichten Stine Ballisager ✍️,327,9028,31,@piresgilvander5303,Hello girl ❤🤍,0,FC Bayern Frauen
FC Bayern Frauen verpflichten Stine Ballisager ✍️,327,9028,31,@mirkokleine2909,Glückwunsch zu den starken und wichtigen Transfer auch das man den Transfer so früh fix machen konnte.✍️👍👌,0,FC Bayern Frauen
FC Bayern Frauen verpflichten Stine Ballisager ✍️,327,9028,31,@RobertMatha,"Leute ist doch zu langsam , von wegen schnell",0,FC Bayern Frauen
FC Bayern Frauen verpflichten Stine Ballisager ✍️,327,9028,31,@TheWeepingPen,Great defensive signing,0,FC Bayern Frauen
FC Bayern Frauen verpflichten Stine Ballisager ✍️,327,9028,31,@valdanohutapea,"Where's Bianca, she's old but still hot 😅",0,FC Bayern Frauen
FC Bayern Frauen verpflichten Stine Ballisager ✍️,327,9028,31,@valdanohutapea,Servus 😁,0,FC Bayern Frauen
FC Bayern Frauen verpflichten Stine Ballisager ✍️,327,9028,31,@bernd3781,"We are red, we are white- just like Danish Dynamite!💪 
Warm Welcome!🫶",2,FC Bayern Frauen
FC Bayern Frauen verpflichten Stine Ballisager ✍️,327,9028,31,@TemitopeMatthew-fd3gl,Congrats👏👏👏,1,FC Bayern Frauen
FC Bayern Frauen verpflichten Stine Ballisager ✍️,327,9028,31,@mblack8692,Herzlichen willkommen bei uns in der FC Bayern Familie🎉,6,FC Bayern Frauen
FC Bayern Frauen verpflichten Stine Ballisager ✍️,327,9028,31,@hajoos.8360,"Die Personal-Politik Frau Rechs wirkt aktuell verwirrt & wenig plausibel. Man hatte Michelle Ulbrich völlig sinnlos aus der Rückrunde genommen & heuert jetzt einen Spieler an, der auch bereits 31 Jahre alt ist. Da die Bayern bereits jetzt überaltern, erscheint das Engagement doch recht fragwürdig.",0,FC Bayern Frauen
FC Bayern Frauen verpflichten Stine Ballisager ✍️,327,9028,31,@FrogwomanOrgReloaded,"Das wird nen interessanter Konkurrenzkampf in der IV. 
Aktuell würde ja sagen Glodis und Magda sind gesetzt (wenn fit)... aber mal gucken wie das läuft unter dem neuen Trainer.",2,FC Bayern Frauen
FC Bayern Frauen verpflichten Stine Ballisager ✍️,327,9028,31,@martink.1471,Willkommen beim FCB😊,3,FC Bayern Frauen
FC Bayern Frauen verpflichten Stine Ballisager ✍️,327,9028,31,@MrPackoTV,Jetzt kommt mit Stine endlich mal ein sehr starkes Abwehrmonster zu Bayern Frauen. Glückwunsch. Die gegnerischen Stürmerinnen werden verzweifeln an Stine und können sich schon mal sehr warm anziehen. Perfekter Transfer.,13,FC Bayern Frauen
FC Bayern Frauen verpflichten Stine Ballisager ✍️,327,9028,31,@karlw.7804,welcome to FC Bayern and in Munich 🤗👍🏻,4,FC Bayern Frauen
FC Bayern Frauen verpflichten Stine Ballisager ✍️,327,9028,31,@denizleventyuruyen4774,Servus.  Enjoy and hsve fun by your nee challange,2,FC Bayern Frauen
FC Bayern Frauen verpflichten Stine Ballisager ✍️,327,9028,31,@andreapielmeier9271,Herzlich Willkommen 😃,2,FC Bayern Frauen
That was FUN! 🥳,638,17828,18,@john1234-ne3qo,FIFA Klub-Weltmeisterschaft,0,FC Bayern Frauen
That was FUN! 🥳,638,17828,18,@GerhardMCziep-ok9cp,❤❤❤ great women,1,FC Bayern Frauen
That was FUN! 🥳,638,17828,18,@oldschoolboy09,Ohne die Männer würdet ihr wie letztes Jahr vor 300 Fans feiern. Da hat keiner gesungen weil das einfach nur peinlich ist. Das beste ist noch das Frauenfußball ein dickes minus Geschäft ist und vor 10 Jahren hat man auch schon gesagt Frauenfußball wird ganz groß und es kommen immer noch nur 500 bis 1000 Fans zu den Spielen.,0,FC Bayern Frauen
